user_name,date,rating,review_text
瑩瑩呂,2019年6月18日,5,超好用
張寶文,2019年6月20日,5,食用
喬雅慧,2019年7月11日,5,good
陳萍萍,2019年7月12日,5,讚
槤榴,2019年6月22日,5,很好用😁😁😁
Jasmine Lin,2019年5月31日,5,希望可以強制標題標示(或讓使用者可以篩選)特定料理工具，例如烤箱、氣炸鍋...，不是每個人家裡都有，看了半天才發現要這些東西很浪費時間 還有希望除了讚以外也能有dislike，有的人真的在亂寫害人
張明水,2019年6月3日,5,"對於我這個不會下廚的人來說,分享菜色容易了解與製作，太棒了。感謝！"
Google 使用者,2019年5月24日,5,請問可以設計我的最愛裡面自己能夠編輯料理資料夾和搜尋自己最愛裡的料理功能嗎？因為自己常常要找最愛裡的料理時都找很久，因為食譜很多
黃亞涵,2019年6月1日,5,在所有的料理APP裡面 是最棒最完整的 任何類別的 國內外料理都可以找得到 很棒！
Walis Chien,2019年5月27日,5,雖然部分要付費 但是一般使用已足夠 很棒的app
傅秀珍,2019年5月29日,5,我最近安裝程式，程式過幾天也自動會不見，自己解除安裝！有人也會嗎？
Yu Hsin,2019年6月3日,5,請問.我想取消訂閱要如何取消？因為之前是用蘋果的手機買的.但手機弄丟了.現在是用oppo.但用google paly沒辦法取消啊..
蔡佳吟,2019年6月4日,3,為何最近一直不停自動解除安裝 一直自動解除安裝依然一直發生
吳怡婷,2019年6月18日,5,"很讚的app,幫助我通過每日的料理瓶頸"
TING SU,2019年6月8日,5,很多人分享食譜 好用的程式
Julie Chen,2019年5月23日,5,"很棒的app,內容都是好吃好煮的料理！"
李俊哲,2019年5月16日,5,可以從中學習菜色，真的很棒
Ｐａｔｒｉｃｋ Ｔｓａｉ,2019年5月24日,5,很多創意想法的分享平臺
葉彥銘,2019年6月10日,5,不會煮就照做
Ada Yiu,2019年5月20日,5,非常好！
杜小珊,2019年6月5日,5,學會很多料理 一起分享料理的美好
Doreen Chen,2019年5月22日,5,非常棒的美食作法分享！
慧玲,2019年5月18日,5,好用的料理app值得推薦
mi Na,2019年5月30日,5,想要做甚麼料理都有
蔡舒韻,2019年6月16日,5,很棒的程式。感恩分享。
宋宋,2019年5月16日,5,一周菜色很棒哦！
徐金龍,2019年5月27日,5,非常得實用！讚
張筱芸,2019年5月19日,5,找食譜非常方便
施宗達,2019年5月19日,5,看了很開胃，很想動手做做看
張釋心,2019年5月29日,5,非常好用，幫助我很多
溫芳正,2019年5月29日,5,非常好用！
柯姍姍,2019年5月27日,5,非常適合新手上路
eva lai,2019年6月5日,5,很多食譜好搜尋
Vincent Kao,2019年6月9日,5,好棒！
紅蝶•美智子,2019年5月16日,5,狀況已經改善了，謝謝
林青梅,2019年6月10日,3,還可以啦
Jenny Z,2019年6月26日,4,食譜很多很方便。
徐沛,2019年5月18日,5,好找好用
Alice JingEr,2019年5月31日,5,超棒的，要找的食譜都有，很實用。
Joey Chuang,2019年5月15日,5,開發人員很細心的追蹤了問題後續，並在更新後修改了問題，真的是很用心！ （20190429：採買清單變難用了，所有加入收藏的菜全都顯示，連沒要買的也在裡面，要找也太花時間了，舊版的只顯示需要購買的食材，簡潔方便啊~請快修改吧！）
aaron chang,2019年5月19日,5,非常有趣
劉曉綺,2019年5月26日,5,好用的程式
蕭鴻偉,2019年5月18日,4,很實用
蕭志強,2019年5月24日,5,說明祥細
阿文,2019年5月26日,5,好用的App
翁志峰,2019年5月29日,5,只有讚
陳麗耳,2019年5月30日,5,很好用
楊筱圓,2019年6月5日,5,功能多樣
胡文獻,2019年5月27日,5,說明清楚
Huang Miya,2019年6月20日,5,很實用
陳華偉,2019年5月30日,5,方便，快速，真棒
王浩任,2019年5月26日,5,很好
Claire Chang,2019年5月17日,5,非常棒
Aning Taso,2019年5月26日,5,不錯
lu cifer,2019年5月18日,5,讚
Yihsiang Lin,2019年6月9日,5,好
李芷萱,2019年6月5日,5,好用
林Even,2019年6月1日,5,讚
達文西,2019年5月31日,5,Good
茅品慈,2019年6月1日,5,很棒
Dick huang,2019年6月1日,5,good
陳琬琪,2019年5月28日,5,讚
angel changel,2019年5月28日,5,實用
洪小閔,2019年5月28日,5,讚
邢毓仁,2019年6月9日,5,讚👍
王谷安,2019年6月1日,5,。。。。
minoz hedy,2019年6月11日,5,👍👍👍
小小,2019年7月1日,5,👍
Cinthia Ling,2019年5月13日,4,有些食譜不是很正確 其他還滿好用的
藍俁沛,2019年5月17日,5,料理好幫手
Michelle Liao,2019年5月12日,5,很棒👍很好用♥對料理新手的我來說，幫助很大，很感謝有這個app😃 *凡勞苦擔重擔的人可以到我這裡來，我就使你們得安息(~聖經~) 也歡迎觀賞GOODTV好消息電視台&網站，更多的認識上帝，經歷祂的又真又活^_^
賴佩君,2019年6月5日,5,方便好用
陳唯唯,2019年5月28日,5,超方便
吳紹彤,2019年5月27日,5,好實用
楊攸如,2019年5月10日,5,已購買vip卻無法使用vip的問題，已反映兩天都沒得到回應 已得到處理，謝謝！
曹*勝,2019年5月11日,5,讚！
林虹君,2019年4月29日,3,"每天煮煮到最後都不知道要煮甚麼,愛食譜給了我一些點子^^只是有些沒有圖片，若能附上圖片會更好。^^"
李姿慧,2019年5月12日,5,你好，因為繳電話費時才發現訂閱續約了，但是我並沒有要續訂，請問費用可以退嗎？
張秀香,2019年3月26日,5,每天總在為了吃飯這件事在煩惱現在有了這個軟體之後天天只要打開軟體就有源源不斷的菜色
nick chen,2019年4月9日,5,想做什麼都可以很快速的找到 大家分享的又很仔細 不容易失敗呢！
tsuhui yu,2019年4月25日,5,很好用的APP，當有食材剩下不知到怎麼處理的時候可以找到各種食譜，很方便。 只有希望能夠在收藏的食譜增加搜尋的功能，用久了，收藏的食譜很多。
李康綺,2019年5月8日,5,使用很方便，常常不知道要怎麼煮，用這個找食譜做出來都不錯 如果可以新增烹煮方式、其他模式(高蛋白、低脂)會更好
陳小舞,2019年5月10日,5,很棒的應用程式，做菜再也沒有困擾，也不用買一堆食譜書，想做的菜找不到，太感謝「愛料理」，真的讓我愛上料理
Shuk Kwan Cassie Liu,2019年4月24日,4,很多菜色可以參考 今天突然不能登入，請問如何解決？
Venus Chow,2019年3月25日,5,非常好用 終於不用每天想破頭到底要煮什麼了
J.R Wu,2019年4月2日,5,很多料理可以借由此App找到，学习试做料理感觉很有趣！
江靜宜,2019年4月29日,5,對家庭主婦來說非常實用，可以看看其他高手如何料理
王巧慧,2019年4月19日,5,很實用的app 只要想做什麼菜 搜尋一下就有了 很方便 讚
鄭宛宜,2019年4月19日,5,超級好用~圖文並茂，不知道要吃什麼的時候開這個app就對了
Google 使用者,2019年3月31日,4,食谱简单易明 还有各式各样的料理 操作简单 整体不错
謝'燕齡,2019年3月23日,5,很方便很喜歡雖然不常煮
Google 使用者,2019年4月5日,5,實用煮菜沒煩
Mia Pink,2019年4月24日,1,"已經寫信非常多次反應，已經買vip, 卻沒變vip，到底需要反應幾次？"
趙巧玲,2019年3月28日,5,留覽方便好用
CoCo Han,2019年3月20日,5,程式好用 方便 許多想做的菜都找得到
Google 使用者,2019年3月27日,5,非常方便好使用，隨時可以查詢到需要的食譜
Johnson Tsai,2019年4月3日,3,更新版本後超卡的，捲動內容會卡好幾秒才有反應（Pixel 2）4/3 更新：閱讀食譜內容捲動頁面會卡，時卡時不卡，卡頓時甚至會停頓個2秒左右，新介面捲動連動tab切換這樣的操作很不錯，但如果不順暢就失去意義了，仍然是個不錯的App，可以在操作順暢度及廣告顯示方式再改進會更棒，目前的感覺是廣告干擾蠻大的。
林達令,2019年4月11日,5,不知道為什麼最近一直自動解除安裝，超奇怪的
莫思思,2019年5月3日,5,超好用....材料又很詳細 作法也簡單 推薦新手媳婦 跟愛做菜的孩子
Haley Yeh,2019年5月8日,5,非常實用 版面配置也很好使
吳珊慧,2019年3月12日,4,大部份搜尋的食材都能找到想做的食譜
Kyle Wang,2019年6月3日,5,很棒 都可以找到想要的食譜
楊逸竹,2019年5月10日,5,好用！ 不知道要煮什麼看愛料理就對了～
黃筱倩,2019年4月22日,5,很方便 很實用 是做菜初學者的好朋友
張韡婷,2019年4月14日,5,想煮什麼料理，上面都搜尋的到，排版也ok，滿方便的
林菲菲,2019年4月30日,5,超好用，方便，每天煮飯都看愛料理來決定菜色
陳美伶,2019年3月28日,5,很讚！要什麼食譜都找得到！
Wei HUANG,2019年4月15日,5,可以學到好多菜 謝謝
陳美玲,2019年3月22日,4,食譜實用又能輕易上手
陳麗羽,2019年6月28日,5,步驟說明的很清楚易懂
林昭,2019年5月2日,5,非常好用，我做菜都用這個APP
余庭萱,2019年4月15日,5,學習了不少菜 很棒喲！
YH Chen,2019年4月9日,5,實用方便 操作介面易懂
黃秀屏,2019年4月12日,4,内容簡明瞭易懂，嚐試試做成功
黃金琪異果,2019年6月20日,5,非常喜歡這APP太方便好用👍
盧美娟,2019年3月20日,5,非常實用，學習了很多做菜的方法
劉雅芳,2019年4月22日,5,非常棒的軟件，從新手慢慢學習
Melody Hsu,2019年5月4日,5,廚房新手，愛料理真是好幫手
林姿吟,2019年3月25日,5,方便查詢料理，很實用
林晏羽,2019年3月11日,5,食譜作法多樣豐富
呂昀蓉,2019年5月8日,5,學習範圍廣擴
Google 使用者,2019年3月31日,5,做料理好幫手
古惠瑜,2019年4月8日,5,很適合家庭主婦的app
KUENCHANG SU,2019年3月23日,5,很多資料可以參考
庄安森,2019年4月3日,4,有些冷門的還是找不到
月小妞,2019年4月25日,5,適合廚藝不好的我
cindy,2019年4月22日,5,初學者可以學到很多
jacky ab,2019年5月4日,5,可不可以開發暗黑版本背景 ？ 背景白色太亮了！！
李旻軒,2019年5月23日,5,想要做什麼家常菜，直接從愛料理，方便又快速^ ^
呆馨,2019年3月23日,5,"裡面有各種滿足我料理的配方,讚!!"
王韋凱,2019年5月10日,4,很好用，對食譜很用心
Big bear Yeh,2019年5月4日,5,非常實用！！
Shun Chao,2019年3月16日,5,好多的食谱!
張貞,2019年4月28日,5,有圖的做法，簡單易學
Google 使用者,2019年3月25日,5,great app!
ling yi wei,2019年4月5日,5,good! great!
楊秀秀,2019年4月28日,5,好上手，推薦給好友
Kara Lin,2019年4月4日,5,查詢方便，廚藝進步
蔡昱虔,2019年3月14日,5,很讚
鄭明方,2019年4月8日,5,做出來都很好吃😁
E Y,2019年3月22日,5,用心的交流平台，謝謝！
張乃方,2019年3月23日,4,內容豐富，菜單多樣
王怡翔,2019年4月18日,5,很多食譜，非常齊全
鍾仁盛,2019年5月8日,5,有詳細的說明
Westly Chien,2019年5月4日,5,很豐富的內容
Min-Chun Li,2019年4月24日,5,料理的好幫手
楊小佩,2019年3月23日,5,方便又好吃
君卓,2019年3月27日,5,很實用謝謝
Tin wu,2019年4月28日,5,料理好幫手
廖勝凡,2019年4月23日,4,詳細說明 很棒
Jasmine Pan,2019年4月19日,5,實用料理網
陳淑貞,2019年4月28日,3,廣告超級多
楊凱雯,2019年4月18日,5,好用 食譜很多
陳怡君,2019年5月18日,5,很讚唷
Yen Ivy,2019年3月12日,5,救了主婦的人生
葉靜蓉,2019年5月1日,5,很棒的料理分享
Oda Pixiy.N,2019年4月28日,4,廣告有點多
曹曹,2019年5月27日,5,簡單容易上手
Fen Cheng,2019年3月23日,5,對料理新手來說，非常棒。
楊珍珍,2019年6月5日,4,跟著做，就對了
ting yu Li,2019年5月8日,5,太實用了~讚!謝謝!
Gina Wang,2019年3月16日,4,好方便，好用
Sonya Su,2019年4月10日,5,好用。方便。煮菜新手的好朋友。
陳泰宏,2019年3月28日,5,很實用，找菜單很多。
雪喵,2019年4月12日,5,食譜很多，很方便、好用！
戴士立,2019年4月29日,5,讚，很方便
Cheung Kinmy,2019年5月13日,5,非常好
吳承叡,2019年5月14日,5,很實用
張世玟,2019年5月11日,5,很實用
陳冠樺,2019年5月13日,5,簡單易學
賴思宇,2019年3月28日,5,超好用的app
孫娜娜,2019年5月4日,5,無敵好用
蔡小萱,2019年4月10日,5,超實用的
xin yu,2019年4月4日,5,超級實用
李豫英,2019年3月20日,5,家常實用
Titita Liao,2019年4月22日,5,實用性高
xuan chiu,2019年4月13日,5,超實用
Google 使用者,2019年3月21日,5,很實用
Pai Katy,2019年3月29日,4,方便的工具
徐容蕓,2019年4月9日,5,好用方便
劉瑞壬,2019年3月15日,4,簡單明瞭
黃贏贏,2019年4月6日,5,食譜很多
曾薇仰,2019年3月25日,5,非常實用
石坤益,2019年5月18日,5,很實用
pauline chao,2019年3月21日,5,超級讚
軒Tsai,2019年4月9日,5,很好用
葉知昀,2019年4月12日,5,很棒的app
Vionvion Lo,2019年3月25日,5,料理的好朋友
Carol Lee,2019年3月30日,5,很實用
翁欣婕,2019年5月19日,5,非常實用
郭郭容妡,2019年4月25日,5,非常好用
蔡巧萍,2019年5月1日,4,實用，方便
月光舞,2019年3月13日,5,很實用的APP！我很喜歡！👍👍👍
HSIU MEI CHANG,2019年3月28日,5,步驟明白，易懂。
ZoRide Chou,2019年3月27日,5,好用，方便，安心
郭芳瑜,2019年5月8日,5,非常棒的app~推薦👍👍👍
蔡麗雪,2019年5月2日,5,實用
吳習之,2019年3月27日,4,good
蘇資玲,2019年4月6日,5,很棒
da fu lu,2019年5月6日,5,不錯
兆靜,2019年4月15日,5,實用
李豫銘,2019年5月1日,5,Good
豬頭阿勛,2019年4月19日,5,好用
林瑞華,2019年3月27日,5,棒
珊秀郭,2019年3月25日,5,不錯
Lee Jeff,2019年3月17日,5,好用
賴妤菁,2019年5月4日,5,實用
李彥儒,2019年4月14日,4,讚
周俐穎,2019年3月25日,5,讚
可愛小雨,2019年4月4日,5,好用
張惇堯,2019年4月4日,5,good
醬Coco,2019年4月6日,4,好用
徐雯雯,2019年5月13日,5,好
洪小紅,2019年3月27日,5,很棒
陳瑀嫺,2019年4月1日,5,實用
張明儀,2019年4月3日,5,很棒
陳隆森,2019年5月21日,5,很棒
許摳摳,2019年5月13日,5,好用
李珮瑩,2019年5月1日,4,好用
顏美,2019年4月18日,5,非常棒
徐克維,2019年3月31日,5,好用
葉美美,2019年5月28日,5,非常棒
k kuo,2019年6月30日,5,讚
Google 使用者,2019年3月27日,5,👍👍👍👍👍
劉雅雲,2019年5月24日,5,👍👍
Joyce,2019年2月4日,3,很好用 但比較喜歡更新前的程式 比較習慣 希望不要有大幅度更新 因為也沒什麼差別 原本的就好
李沛琳,2019年2月22日,4,如果可以不要分vip跟一般使用者，都一視同人會比較好，尤其是卡路里這點
許玉枝,2019年3月1日,4,訂閱也快一年，卻只能看非VIP當天的一週菜單（一週菜色幫妳配）
伍昱臻,2019年2月23日,5,愛料理讓我可以找到想要做的食譜而且很方便，簡單做料理
陳淑珍,2019年6月11日,5,好棒的軟體，原本本人不太會煮菜，看了這個愛料理讓我很有信心的做菜
Yu. Polly,2019年1月31日,5,實用，不知道煮什麼時就進去找一下，很棒。
吳可勻,2019年1月30日,2,喜歡更新前食譜的頁面，滑動比較方便
Google 使用者,2019年2月18日,5,學習到更多不一樣的菜色
Cheer Tsai,2019年3月31日,5,如果可以增加以廚具為關鍵字去搜尋食譜更棒！
Pei Pei Yang,2019年2月23日,3,本來蠻好用的 升級後版面使用起來很不方便。希望能恢復前版本。
Taky Yeung,2019年2月15日,5,方便簡單的食譜庫
anita CHEN,2019年2月20日,5,"很幫的app,想煮什麼菜，食譜都找得到，而且也說明很詳細喔！"
劉薇薇,2019年2月27日,5,很棒的app 會一直使用，不過廣告有點多
徐小菲,2019年2月1日,5,隨時都可以查到滿滿的料理食譜
Jim Wu,2019年3月29日,4,要收費才有vip 跟部分功能
Reiko Lee,2019年2月10日,5,想做的菜色，這裡統統找得到
胡淑鈴,2019年2月25日,4,讓我很方便，很快速做好一道道的美食
哈爾希洛,2019年3月9日,5,超讚的應用程式，解決了我工作上大部分的問題！
Catherine chen,2019年2月26日,5,超實用的app
Albee Hsieh,2019年3月6日,2,想知道為什麼程式會自動刪除？每一次打開就要重新下載一次？（我是付費VIP)
Bettina Lin,2019年4月28日,4,不錯用的食譜app，能夠協助發想新菜色。
曾蜀芬,2019年3月3日,5,沒有做菜靈感就往這找，很棒的平台
圓圓,2019年4月24日,5,好用的app，用這個做了不少菜
敏喬,2019年2月17日,5,在裡面學到不同的食物
祝瞬鑫,2019年2月23日,4,雖廣告多了點，但還是不錯用
Mindy Chen,2019年3月12日,5,非常適合初學者用！
Google 使用者,2019年2月17日,4,很方便，食譜超多，很喜歡。 但是下面的廣告很討厭
崔明智,2019年2月10日,5,好用！
K Car,2019年2月20日,5,想找的料理幾乎都有
Google 使用者,2019年3月1日,5,可以找到不同的食譜
SIN-DE JANG,2019年2月2日,5,超讚的食譜APP
Dennis Lin,2019年2月7日,5,秘笈寶典 收益良多
Jennifer Kuo,2019年3月4日,5,非常實用喔！
Jojo Chen,2019年2月23日,5,很方便，收集的食譜也很多，謝謝你們的用心。
陳慶玉,2019年2月25日,5,太讚了
綾貞,2019年2月13日,5,方便實用
古佩敏,2019年2月16日,5,好幫手
Connie Hsu,2019年1月31日,5,很棒的分享
佩穎吳,2019年3月26日,5,超棒的料理，應有盡有
Bryan Wang,2019年3月17日,4,簡單明瞭，多樣選擇
賴小蓉,2019年2月21日,5,很實用的軟體
Peter Wu,2019年3月7日,5,很不錯的平台
黃淑惠,2019年2月16日,5,很棒超實用的
Elma chen,2019年6月4日,5,學習很多料理
Yanpo,2019年3月20日,5,支援助理，很ok
邱艾欣,2019年3月26日,4,好用，謝謝！
Frances Hsu,2019年3月19日,5,讚讚的！
陳麗瑩,2019年2月8日,5,so good.
希敏,2019年2月7日,5,很好用，我做食物很多都是在這找的 (＾▽＾)
Google 使用者,2019年3月14日,5,非常好用
李玟嫺,2019年4月1日,5,簡單明瞭
Google 使用者,2019年3月9日,5,很不錯
俐俐,2019年3月8日,5,很好用
jade LU,2019年3月5日,5,很實用
張紋溶,2019年3月24日,5,非常實用
鄭美蓮,2019年3月13日,5,很實用
daphany chen,2019年2月16日,5,很好用
黃怡,2019年3月15日,5,很方便
黃政群,2019年4月29日,5,很實用
蕭淑芬,2019年2月20日,5,好喜歡
章曉慧,2019年4月3日,5,很實用
林姿伶,2019年3月10日,1,最近下載完之後app都會自己刪除？？？
張琬琪,2019年4月14日,5,方便實用
Grace Pao,2019年3月6日,5,很行
emily Tsai,2019年3月16日,5,好用方便
Google 使用者,2019年3月1日,5,非常實用
Google 使用者,2019年2月19日,5,簡單易懂
Shih Yuan,2019年2月2日,5,good.
Carrie Lin,2019年3月3日,4,有用。
吳仁豪,2019年3月8日,4,可有一比，試試又何妨，一一，，，，
Sindy Pan,2019年3月5日,5,好用
周聖欽,2019年2月20日,5,好用
蕭Liz,2019年5月15日,5,實用
林鴻,2019年2月28日,5,很棒
梁阿乍,2019年2月16日,5,good
楊志誠,2019年2月27日,5,非常棒
Simon Yao,2019年6月14日,5,good
蜜蜂獅,2019年3月5日,5,good
Carol Lin,2019年4月7日,5,超棒
勒斯法,2019年2月4日,5,實用
張雅婷,2019年3月18日,5,讚
游梓歆,2019年3月9日,5,很好的
Google 使用者,2019年3月9日,5,清晰明瞭
蔡小菜,2019年3月1日,5,好
張紡慈,2019年3月8日,4,good
王怡今,2019年5月18日,5,實用
劉茜文,2019年4月5日,5,很有幫助
Google 使用者,2019年3月12日,4,good
楊玥涵,2019年3月10日,4,👍👍👍
黃榮台,2019年2月3日,5,🐒
鄭芷柔,2019年3月23日,5,👍
李枝宏,2019年1月27日,5,廚房功力倍增！
Google 使用者,2019年3月3日,5,實用
劉鳳,2019年1月9日,3,看一下收藏的食譜 往下划時很容易當住畫面不會動 變成又要重開一次 好幾次更新都一樣 會當掉 主畫面也一樣會當 難道不是會員都是這樣嗎？之前第一次下載都沒這樣的問題 怎麼越後面更新就這樣 強迫人家消費變會員嗎？反應了問題還是在 麻煩你們處理一下好嗎？
琪,2019年1月9日,5,收藏清單分類的時候希望可以複選，每次分類完一個就會跳到最上面，要一直重滑有點麻煩。
楊千慧,2019年1月21日,3,原本都很好，但是不知道為何最近App 都會自動自我刪除，每次要找食譜都要重新下載
Chelsea Tu,2019年1月6日,5,很實用，對於自己不常做的菜，可以從其他人的經驗去學習。
陳淑貞,2019年1月10日,5,這個App真的很棒，有時候想做不一樣的料理，上來逛逛就有不同美食上桌
林光佑,2019年3月19日,4,菜單很豐富 如果也能查詢製作食材會更好
Lorrin Hsu,2019年1月28日,4,缺點就是希望有個介面可以只看自己追蹤的人
Otz,2018年12月29日,5,超實用App，隨時都能學習料理。
陳美玉,2019年6月16日,5,非常实用. 煮菜時是本不可多得的好幫手
趙雙燕,2019年1月28日,4,喜歡但可更清楚把製作過程照出來
Google 使用者,2019年1月11日,5,我從不會煮飯。用這個app學到都會煮了，很好用，推薦很多媽媽用過了
青青黃,2018年12月31日,5,可以學到很多東西
陳韋廷,2019年1月14日,4,無法使用小米電子鍋，已寄截圖畫面過去
Chung Yun Cheng,2019年1月9日,5,食譜種類豐富，操作介面很適合邊做菜邊使用
妲妮悠德達麗瑪饒.,2019年1月2日,5,食譜很多！多看可以多學😂
謝淑如,2019年1月8日,5,非常實用，幫助很大
王心喻,2019年1月12日,5,很好用 很多參考食譜
Sasha Lan,2019年1月26日,5,很棒，可以學習到很多料理的做法
黃云慧,2019年2月16日,4,目前用過最方便最多元化
YC Tsen,2019年1月6日,5,"有很多種食譜,非常好用"
羅逸如,2019年1月12日,5,搜尋快速 資料豐富
小幀尤,2019年1月9日,5,可以在多po一些家常菜嗎？
Brian Chen,2019年2月4日,5,好用又幽默
adeline hao,2019年1月4日,5,很實用的app
林怡伶,2019年1月21日,5,好多食譜好開心😄
YaChen Yueh,2019年3月25日,5,好用，方便。讓我一邊做菜一邊看。
盧蓁瑩,2019年1月27日,5,非常實用，大推
Lanner Chang,2019年2月4日,4,不錯，很方便
ZihYang Lin,2019年1月2日,3,推播內容TEST?
田雅雯,2019年2月24日,5,清楚，好用
Google 使用者,2018年12月29日,5,非常實用
張曉琪,2019年1月24日,5,太實用了
stars小莓,2019年1月15日,5,太需要了
陳錦秀Bab0926636879,2019年5月8日,5,方便清楚
林靜儀,2019年1月25日,5,非常實用
邵凱,2019年1月18日,4,很實用
詹亮亮,2019年1月30日,5,方便好用
李品婕,2019年1月24日,5,實用，方便
葉文輝,2019年1月4日,5,好用。
喵月霧,2019年1月7日,5,超好用
張俊傑,2019年1月3日,4,好
彤彤兒,2019年3月5日,4,Good
莊朔菡,2019年1月13日,5,方便
